pitch_type,player_name,game_date,p_throws,release_speed,effective_speed,release_spin_rate,spin_axis,pfx_x,pfx_z,plate_x,plate_z,release_pos_x,release_pos_y,release_pos_z,release_extension,vx0,vy0,vz0,ax,ay,az
SL,"Díaz, Alexis",7/16/2023,R,87.9,90.9,2754,125,0.2,0.38,0.6464370457513097,2.021172760252748,-2.3,52.87,4.63,7.6,6.899212156021491,-128.0121246,-1.130209047,1.080553663575407,21.27486158821914,-27.92711969
FF,"Javier, Cristian",5/16/2023,R,92.8,92.2,2181,198,-0.46,1.21,-0.643460041,2.964373532847512,-1.61,54.28,5.83,6.2,3.4739335793909443,-134.9526485,-4.119406281,-6.43463999,32.351241655503465,-16.72145453
CU,"Smith, Will",7/1/2023,L,76.6,76.2,2070,329,-0.76,-0.97,0.4826306119255413,2.451354212146976,1.4,54.45,6.66,6,-0.57411234,-111.6086076,-0.119084783,-6.205643583,20.90948069982748,-40.44846052
SL,"Farmer, Buck",8/20/2023,R,83.2,82.9,2872,51,1.21,0.13,0.7717936676563829,1.544181737,-1.4,54.47,5.66,6,2.6004533030357813,-121.2355095,-3.238849404,11.44150321308904,23.53130728132824,-30.50763591
CH,"Suarez, José",9/16/2023,L,81.3,81.4,1722,119,1.09,1,-0.266159491,1.1279676043164968,2.39,54.22,5.42,6.3,-8.042491627,-118.1667208,-4.960577522,11.733926165957902,21.19223144662509,-22.01213987
CH,"Williamson, Brandon",6/2/2023,L,84.4,84.3,1565,113,0.84,0.87,0.5685848079924917,2.178270463389529,0.49,54.37,6.48,6.1,-1.498643248,-122.8605963,-5.379426987,8.837657621753811,23.75555204433172,-22.54692516
FF,"Senga, Kodai",6/10/2023,R,95,95.7,2312,215,-0.76,1.09,0.7046308847887414,2.8339197876135893,-1.92,53.95,5.88,6.6,8.612578115401401,-138.0801785,-4.816070179,-11.59069526,27.773065520053997,-17.26338552
FF,"Strider, Spencer",5/17/2023,R,98.2,99,2324,206,-0.56,1.55,-0.280114407,3.1143141269029493,-1.96,53.58,5.86,6.9,5.906364388664234,-142.7357239,-5.559322478,-9.027581854,34.417047632084085,-9.932810359
FF,"Englert, Mason",6/12/2023,R,90.7,90.7,2200,226,-0.79,1.09,0.2047127576933108,2.357517141151213,-2.19,54.35,5.52,6.1,7.633319255,-131.9023265,-4.333444753,-10.73119617,25.76957931852752,-18.73823171
FF,"Cease, Dylan",8/2/2023,R,95.1,94.7,2642,198,-0.38,1.57,-0.160597262,3.857230632706568,-1.66,54.15,6.15,6.4,4.783486461376568,-138.3913726,-3.826579952,-6.042284238,34.59847210062142,-11.42384009
CH,"Gibson, Kyle",8/18/2023,R,85.8,87.2,1646,232,-1.2,0.1,0.7533005391591157,0.8659115652956557,-2.39,53.36,6.18,7.1,9.989116891,-124.4616862,-6.597848068,-14.4090313,22.82170039199544,-30.04893808
SL,"Patiño, Luis",9/27/2023,R,85.1,85.7,2226,122,0.51,0.25,1.5014494771762814,-0.120814205,-1.25,53.51,5.84,7,5.482826311916606,-123.5426792,-8.168698511,3.995242276273808,26.66001348570703,-28.04314364
FF,"Varland, Louis",9/6/2023,R,98.3,99.6,2308,213,-0.53,1.39,-0.101490729,2.1104183675049946,-1.74,53.65,5.35,6.9,5.713395487147195,-143.0708792,-6.639099103,-8.514865232,30.94832294385479,-11.77978587
CU,"Blackburn, Paul",8/5/2023,R,81.1,81.1,2494,31,0.69,-1.27,0.1306733337753697,1.1611618938740147,-1.99,54.05,5.99,6.4,3.4367393170749296,-118.0373833,-1.691029263,5.6678865454047855,24.230404612991624,-43.8981393
CH,"Pérez, Martín",5/7/2023,L,85,83.9,1802,125,1.17,0.85,0.3466334582759806,1.6825896935679947,1.17,54.83,5.64,5.7,-4.208836097,-123.677282,-4.596648598,12.852116182572976,25.561494690572705,-22.73989941
ST,"López, Pablo",5/27/2023,R,86.3,89,2536,56,0.92,0.21,0.539275206,2.4827143665547946,-2.17,52.83,5.53,7.7,4.7016901810076455,-125.7945507,-1.547149946,8.980557132099305,23.091505308390303,-29.8333063
FF,"Peralta, Freddy",5/8/2023,R,92.9,93.9,2460,212,-0.52,1.39,0.5636133418116845,3.3197147483966205,-2.81,53.68,4.96,6.8,9.853581760976144,-135.0289523,-1.474570041,-8.411915196,28.20257044,-14.960619
CU,"Law, Derek",8/28/2023,R,79.2,80.1,2586,350,0.09,-0.59,0.006038562,2.3730949830898336,-1.26,53.96,6.65,6.5,2.6077176677585845,-115.4607485,-1.546227834,0.3989008741656717,19.20016720258871,-37.40928218
CU,"Pérez, Eury",5/18/2023,R,81.4,82,2334,109,0.33,0.13,-1.275160174,2.1489223627139293,-2.16,53.87,6.08,6.6,1.3754398874107618,-118.6054488,-2.494688753,2.8077713086533325,22.998659772954017,-30.71472022
FF,"Kelly, Merrill",9/9/2023,R,90.3,89.8,2286,227,-0.61,1.19,0.077132882,1.9092765678845705,-1.95,54.67,5.47,5.8,6.305151726309833,-131.4253059,-5.43046881,-8.416522447,26.47812120240292,-17.41855773
SL,"Lange, Alex",7/14/2023,R,88.2,88.3,2338,37,-0.08,-0.43,-0.526847592,1.4743497421822207,-2.47,54.07,5.65,6.4,4.916826044704574,-128.3093769,-3.164420598,-1.971144538,27.15997564233184,-36.4692889
FF,"Beck, Tristan",5/22/2023,R,94.7,95.4,2191,215,-0.71,1.51,0.6109543056852877,2.134460379905432,-2.76,53.71,5.81,6.8,10.431691845821884,-137.3626698,-7.336348108,-11.19544412,29.45981749276259,-11.49601975
SL,"Iglesias, Raisel",5/30/2023,R,80.5,80,2512,70,0.72,0.92,-1.63277937,2.959607901818325,-2.1,54.51,5.6,6,-0.331233479,-117.2274494,-0.902508384,6.680176336690255,22.90007202121596,-23.79877817
FF,"Rodriguez, Eduardo",4/12/2023,L,92.3,92.5,2271,149,0.74,1.31,-0.155949024,3.1511090170295333,1.7,54.16,5.85,6.3,-6.35086473,-134.2501501,-3.9105042,10.33072950030248,27.95500387527222,-15.65018947
CH,"Henry, Tommy",5/11/2023,L,83.8,84.6,1706,114,1.3,-0.04,-0.061118865,1.2236926940227844,2.04,53.66,5.45,6.8,-7.509869222,-121.8430955,-3.263204984,14.45554002017786,24.066492221896876,-32.16912758
SI,"Cuas, Jose",9/16/2023,R,92.4,91.9,2446,246,-1.14,0.31,-0.399338621,3.5423844936031257,-4.43,54.26,4.09,6.2,12.687420988077776,-133.9424383,3.791004198831158,-16.43264164,29.33262259095367,-29.57812614
CU,"Germán, Domingo",7/3/2023,R,80.1,79.5,2527,337,0.04,0.06,0.2272822912807469,2.0567924929817982,-1.54,54.6,5.76,5.9,3.806918944612877,-116.6628719,-1.573174149,-0.418417609,22.928778542294747,-31.55352038
FF,"Bielak, Brandon",5/1/2023,R,94.3,92.4,2382,212,-0.68,1.58,-1.203319588,2.573186769153825,-1.15,54.92,6.36,5.6,1.3611731121193915,-137.0573283,-7.4532053,-8.848045663,35.35531916,-10.79934975
FF,"Finnegan, Kyle",9/19/2023,R,97.1,97.8,2095,219,-0.93,1.48,-0.335831913,2.308650924808895,-1.81,53.92,5.72,6.6,6.114176667094255,-141.2776971,-7.040853005,-13.85822335,30.79009745366099,-10.92194401
SI,"Peterson, David",7/8/2023,L,92.7,93.9,2258,139,1.14,0.42,-0.249976495,1.5257062756298436,2.27,53.23,6.02,7.3,-9.073691399,-134.5300377,-6.629279011,15.851243059272663,30.92537078551177,-25.78573712
FF,"Anderson, Tyler",5/30/2023,L,87.9,87.6,2186,159,0.17,1.77,-0.432027193,2.1832550266875583,1.66,54.25,6.48,6.3,-5.392039685,-127.6776436,-7.905013218,2.9500967817223174,26.77584370410701,-11.40794413
FF,"Gausman, Kevin",4/29/2023,R,94.7,94.3,2353,223,-1.1,1.48,1.0701120111424252,1.7113902938158998,-2.38,54.06,5.87,6.4,11.431235708159337,-137.2013948,-8.434897822,-16.4595209,31.93000502120229,-11.64024824
FF,"Lee, Dylan",4/8/2023,L,90.3,90.9,2178,153,0.47,1.7,-0.654771353,2.2071688040963737,1.58,53.72,6.48,6.8,-6.616346223,-131.1783752,-8.339492768,6.8574792132425255,28.11160352105091,-10.99217982
ST,"Ohtani, Shohei",5/3/2023,R,84.1,84.9,2685,71,1.41,0.52,0.6910482299899208,1.9891493656597363,-2.48,53.6,5.54,6.9,4.584174310961596,-122.3985471,-2.856444789,13.227652148529808,25.20959045077911,-26.63612451
FF,"Kaprielian, James",5/13/2023,R,92.3,91.5,1908,218,-0.47,1.24,0.4341545168067631,2.4764201725920243,-2.77,54.47,5.98,6,9.109439074116745,-133.9754565,-5.701899849,-7.68472922,30.258494897343148,-16.20781643
CH,"Anderson, Tyler",8/5/2023,L,80.6,80.3,1782,133,1.05,0.76,0.829588218,1.5014173698718971,1.87,54.2,6.35,6.3,-4.296463815,-117.2318369,-5.493228686,10.47998457498088,23.898385031316387,-24.31176411
FF,"Moore, Matt",4/22/2023,L,93.9,93,2370,141,0.64,1.62,-0.318547889,2.424756569433927,1.37,54.42,6.33,6.1,-5.750238941,-136.329962,-7.841889782,9.357800448578628,32.870642065748235,-10.47006607
CU,"Johnson, Pierce",8/5/2023,R,87,87,2988,48,0.54,0,1.0130079460461865,1.2362247899252594,-1.79,54.5,6.07,6,5.592661388277227,-126.6240467,-5.47176632,4.824624575556675,22.709234493736524,-31.37140398
SL,"Brash, Matt",4/12/2023,R,88.8,89.6,2920,76,0.61,0.32,-0.434599383,3.318664893281938,-2.41,53.76,5.26,6.7,3.602144810696225,-129.2803823,0.6231241849841159,6.066183797499682,26.94092034648953,-28.91073801
SI,"Mantiply, Joe",9/14/2023,L,87.7,87.2,2127,109,1.7,0.27,-0.192747937,1.6299741005287558,3.05,54.1,5.24,6.4,-11.33552984,-127.1497565,-3.040139041,20.877120786109995,28.616191807221192,-28.82098787
SI,"Muñoz, Andrés",8/15/2023,R,97.2,97.9,2101,237,-1.43,0.1,-0.676100968,3.667849200216022,-3.5,53.91,4.8,6.6,10.899578456687872,-141.2532488,2.264656450929698,-21.57811257,29.765171432027607,-31.53492227
ST,"Hicks, Jordan",9/30/2023,R,84.3,84.3,2524,49,1.09,0.31,1.2847956670155487,2.273819734072896,-1.88,53.98,5.46,6.5,5.196261071565287,-122.6634768,-1.576159253,9.800909524906558,26.93018114581117,-28.98905532
FF,"Weems, Jordan",7/5/2023,R,97.1,97.1,2225,206,-0.6,1.46,0.9801083979171756,2.3006201108348727,-0.56,54.19,6.11,6.3,5.472121425188475,-141.1333931,-8.009177444,-9.198178212,31.409963461832486,-11.03399308
SI,"Moll, Sam",5/26/2023,L,93.4,90.6,2330,122,1.52,0.42,0.8165822391463164,2.885644988176769,2.18,55.64,5.35,4.9,-6.643184069,-135.736443,-1.438171434,20.20586422372966,32.73839112414983,-26.87058388
FF,"Falter, Bailey",4/25/2023,L,90.4,92.5,2037,174,0.28,1.56,-0.068561177,1.7901815095842983,0.92,52.98,5.85,7.5,-3.133370007,-131.4794155,-7.653390002,3.882396997226839,27.46647335,-12.66635156
SI,"Then, Juan",5/29/2023,R,93.4,93.7,2106,238,-1.54,0.47,1.141144656260261,1.4668608271208294,-2.69,53.9,5.21,6.6,13.28716862598691,-135.3169669,-4.907707314,-21.74975119,27.97031249616499,-25.51542851
ST,"Fulmer, Michael",7/22/2023,R,83.7,84.2,2785,62,1.32,-0.27,1.0439954240202762,2.6413803836638365,-2.78,53.79,5.93,6.7,6.241876153539633,-121.7138759,-0.590047435,11.874445184968716,24.60154702772438,-34.97731856
FF,"Taillon, Jameson",8/23/2023,R,93.3,94.1,2223,214,-0.83,1.05,-1.139983499,2.191773443545996,-1.34,53.81,5.87,6.7,2.3466594893543915,-135.8667216,-6.08017046,-10.79072294,29.20300718463712,-18.02429465
SI,"Bassitt, Chris",4/18/2023,R,91.1,91.4,2109,210,-1.14,1.25,-1.241977477,2.1137939601543234,-1.45,53.94,5.93,6.6,2.983671476686345,-132.5142616,-6.371079052,-14.03236583,29.458562676784634,-16.23266401
FF,"Woodruff, Brandon",8/6/2023,R,96.7,97.7,2494,206,-0.6,1.58,0.646829705,3.792166401727598,-1.21,53.71,5.87,6.8,6.369711737006608,-140.6710288,-3.617149532,-9.356500988,30.928460294194984,-10.5927425
FF,"Steele, Justin",9/9/2023,L,91.6,91.6,2354,169,-0.22,0.72,-0.412560868,2.522587573915313,1.87,54.24,6.04,6.3,-5.297170512,-133.2949859,-4.581526187,-1.453472419,28.30944792419185,-22.79668184
